Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
230	9	Si5b5	B5b5	362	362	1	4	833	95	96	neş	9.388889
231	9	Si5b5	B5b5	362	362	1	16	208	99	96	ve	9.416667
232	9	La5	A5	358	358	1	16	208	95	96		9.444445
233	9	La5	A5	358	358	3	16	625	99	96	gâ	9.527778
234	9	Sol5	G5	349	349	1	16	208	99	96		9.555555
235	9	Sol5	G5	349	349	1	16	208	99	96		9.583333
236	9	Fa5	F5	340	340	1	16	208	99	96		9.611111
237	9	La5	A5	358	358	1	16	208	99	96		9.638889
238	9	Sol5	G5	349	349	1	16	208	95	96		9.666667
239	9	Sol5	G5	349	349	3	8	1250	99	96	hı 	9.833333
240	9	Fa5	F5	340	340	1	8	417	99	96		9.888889
241	9	Sol5	G5	349	349	1	8	417	99	96		9.944445
242	9	La5	A5	358	358	1	16	208	99	96		9.972222
243	9	Sol5	G5	349	349	1	16	208	99	96		10
244	9	Sol5	G5	349	349	1	2	1667	95	96		10.22222
245	53			0	0	0	0	0	0	0		10.22222
246	9	Es	Es	-1	-1	1	8	417	100	0		10.27778
247	9	La5b4	A5b4	354	354	1	16	208	99	96	kû	10.30556
248	9	Sol5	G5	349	349	1	16	208	99	96		10.33333
249	9	Fa5	F5	340	340	1	8	417	95	96		10.38889
250	9	Sol5	G5	349	349	1	8	417	95	96	şe_	10.44444
251	9	La5b4	A5b4	354	354	1	8	417	99	96	i 	10.5
252	9	Sol5	G5	349	349	1	8	417	99	96		10.55556
253	9	Si5b1	B5b1	366	366	1	8	417	99	96		10.61111
254	9	La5b4	A5b4	354	354	1	16	208	99	96		10.63889
255	9	Sol5	G5	349	349	1	16	208	95	96		10.66667
256	9	Sol5	G5	349	349	3	8	1250	99	96	mey	10.83333
257	9	Sol5	G5	349	349	1	16	208	99	96		10.86111
258	9	Fa5	F5	340	340	1	16	208	99	96		10.88889
259	9	Fa5	F5	340	340	3	16	625	99	96		10.97222
260	9	Mi5b3	E5b4	333	332	1	16	208	99	96		11
